AQI Bucket,City,Date,AQI,Benzene,CO,N Ox,NH3,NO,NO2,O3,Pm10,Pm2.5,SO2,Toluene,Xylene
Poor,Ahmedabad,29-01-2015,209,0.02,6.93,33.72,,6.93,28.71,59.76,,83.13,49.52,0,3.14
Very Poor,Ahmedabad,30-01-2015,328,0.04,13.85,41.08,,13.85,28.68,97.07,,79.84,48.49,0,4.81
Severe,Ahmedabad,31-01-2015,514,0.24,24.39,52.61,,24.39,32.66,111.33,,94.52,67.39,0.01,7.67
Severe,Ahmedabad,01-02-2015,782,0.4,43.48,84.57,,43.48,42.08,102.7,,135.99,75.23,0.04,25.87
Severe,Ahmedabad,02-02-2015,914,0.46,54.56,72.8,,54.56,35.31,107.38,,178.33,55.04,0.06,35.61
Severe,Ahmedabad,03-02-2015,660,0.17,30.61,56.73,,30.61,28.4,73.6,,139.7,33.79,0.03,11.87
Poor,Ahmedabad,04-02-2015,294,0,2.37,24,,2.37,22.83,47.3,,80.65,25.73,0,0
Moderate,Ahmedabad,05-02-2015,149,0,2.6,23.31,,2.6,21.39,53.54,,58.36,32.66,0,0
Moderate,Ahmedabad,06-02-2015,190,0,1.16,26.83,,1.16,26.94,59.3,,79.29,67.41,0,0
Poor,Ahmedabad,07-02-2015,247,0,7.29,37.73,,7.29,31.32,44.76,,88.7,80.09,0,0
Very Poor,Ahmedabad,08-02-2015,379,0,8.92,33.42,,8.92,27.3,47.42,,74.28,54.28,0,0.27
Very Poor,Ahmedabad,09-02-2015,341,0.02,4.32,26.86,,4.32,24.27,39.94,,113.93,48.73,0,3.55
Poor,Ahmedabad,10-02-2015,256,0,1.41,18.75,,1.41,18.21,56.15,,105.39,35.91,0,3.31
Very Poor,Ahmedabad,11-02-2015,388,9.7,6.34,28.24,,6.34,23.8,53.14,,66.52,66.58,9.63,16.49
Poor,Ahmedabad,12-02-2015,288,7.72,14.19,44.21,,14.19,30.1,31.88,,65.04,65.91,17.46,2.51
Severe,Ahmedabad,13-02-2015,510,11.29,18.18,57.33,,18.18,39.56,40.11,,103.36,80.43,24.35,3.35
Severe,Ahmedabad,14-02-2015,761,17,37.49,77.85,,37.49,47.58,36.47,,177.33,99.72,52.66,6.98
Severe,Ahmedabad,15-02-2015,475,10.47,15.55,44.87,,15.55,30.5,33.78,,113.25,69.71,28.53,3.22
Severe,Ahmedabad,16-02-2015,536,10.28,19.85,47.31,,19.85,28.1,30.57,,99.7,73.23,31.25,4
Severe,Ahmedabad,17-02-2015,479,8.14,15.96,35.67,,15.96,21.04,36.2,,80.61,54.7,18.75,2.52
Severe,Ahmedabad,18-02-2015,592,10,16.24,41.91,,16.24,25.93,37.43,,100.79,43.11,32.41,4.04
Severe,Ahmedabad,19-02-2015,427,9.2,11.25,40.47,,11.25,30.09,31.94,,107.99,84.86,24.03,3.25
Severe,Ahmedabad,20-02-2015,588,20.12,33.84,68.85,,33.84,36.14,40.98,,140.29,101.53,43.51,7.48
Severe,Ahmedabad,21-02-2015,1141,22.14,61.95,106.92,,61.95,46.25,33.55,,239.96,84.87,53.98,15.44
Severe,Ahmedabad,22-02-2015,669,7.35,45.45,92.32,,45.45,48.21,34.77,,142.96,62.96,22.4,8.47
Severe,Ahmedabad,23-02-2015,1247,50.61,77.7,131.32,,77.7,55.07,37.3,,238.41,89.07,163.64,28.46
Severe,Ahmedabad,24-02-2015,411,16.89,12.56,42.56,,12.56,32.01,38.8,,118.72,61.54,46.52,6.05
Poor,Ahmedabad,25-02-2015,292,3.85,2.23,10.39,,2.23,10.45,67.25,,52.99,32.76,11.39,0.81
,Ahmedabad,26-02-2015,,,,,,,,,,,,,
,Ahmedabad,27-02-2015,,,,,,,,,,,,,
,Ahmedabad,28-02-2015,,,,,,,,,,,,,
,Ahmedabad,01-03-2015,,2.69,3.58,20.92,,3.58,16.81,30.48,,61.12,28.44,1.58,1.32
Moderate,Ahmedabad,02-03-2015,189,2.05,9.07,27.34,,9.07,18.21,34.75,,60.78,29.48,0.55,0.22
Severe,Ahmedabad,03-03-2015,408,2.69,12.99,40.76,,12.99,28.71,38.46,,91.83,39.71,1.74,2.25
Very Poor,Ahmedabad,04-03-2015,383,5.21,18.21,47.01,,18.21,29.38,46.79,,93.88,62.75,2.55,1.55
Severe,Ahmedabad,05-03-2015,780,9.72,48.44,90.73,,48.44,42.27,59.39,,173.01,78.76,9.96,4.13
,Ahmedabad,06-03-2015,,,,,,,,,,,,,
,Ahmedabad,07-03-2015,,17.77,2.5,18.66,,2.5,16.1,69.9,,105.45,29.29,5.75,0.39
Moderate,Ahmedabad,08-03-2015,190,3.95,3.51,20.32,,3.51,16.83,57.16,,71.56,30.28,8.01,0.63
Poor,Ahmedabad,09-03-2015,233,4.85,4.13,27.9,,4.13,24.07,50.49,,119.8,50.35,12.15,1.35
Poor,Ahmedabad,10-03-2015,297,5.58,5.39,30.51,,5.39,25.59,60.17,,106.71,38.85,14.17,1.74
Very Poor,Ahmedabad,11-03-2015,330,7.9,4.11,31.83,,4.11,28.94,53.61,,118.49,54.2,21.32,2.78
Poor,Ahmedabad,12-03-2015,252,9.45,4.28,30.54,,4.28,27.31,40.91,,106.01,70.29,15.54,1.71
Poor,Ahmedabad,13-03-2015,244,5.61,3.67,24.62,,3.67,21.58,45.69,,97.34,64.39,15.02,2.25
Poor,Ahmedabad,14-03-2015,234,8.24,6.42,30.8,,6.42,25.03,34.94,,83.92,67.53,21.47,3.09
Poor,Ahmedabad,15-03-2015,219,4.34,3.1,16.15,,3.1,14.16,37.95,,49.51,48.33,11.34,1.09
Moderate,Ahmedabad,16-03-2015,118,3.58,2.72,16.98,,2.72,14.14,54.78,,30.76,43.62,9.38,0.84
Poor,Ahmedabad,17-03-2015,231,5.45,5.34,33.28,,5.34,29.84,45.44,,50.29,59.23,15.12,1.65
Poor,Ahmedabad,18-03-2015,286,9.55,25.36,54.79,,25.36,29.48,52.87,,57.69,58.33,32.11,4.53
Severe,Ahmedabad,19-03-2015,883,20.89,46.24,82.23,,46.24,37.05,45.65,,105.06,53.62,75.36,12.7
Severe,Ahmedabad,20-03-2015,720,17.5,22.14,57.49,,22.14,36.53,46.77,,94.1,61.31,52.01,7.9
Severe,Ahmedabad,21-03-2015,570,18.03,22.25,64.53,,22.25,43.29,50.57,,111.89,66.44,56.86,8.86
Severe,Ahmedabad,22-03-2015,589,15.78,25.38,63.01,,25.38,39.34,46.68,,108.59,75.8,48.41,7.07
Severe,Ahmedabad,23-03-2015,818,24.12,45.61,85.76,,45.61,41.03,41.58,,130.76,65.77,85.31,12.56
Severe,Ahmedabad,24-03-2015,737,18.61,27.3,57.16,,27.3,31.15,35.38,,143.55,50.98,72.78,10.15
Severe,Ahmedabad,25-03-2015,585,29.14,23.83,57.71,,23.83,34.48,43.79,,165.07,64.32,64.01,8.51
Severe,Ahmedabad,26-03-2015,616,24.09,17.93,60.07,,17.93,43.3,53.44,,166.85,79.71,67.38,9.76
Severe,Ahmedabad,27-03-2015,437,14.23,6.4,40.22,,6.4,35.82,17.94,,147.38,46.89,41.88,5.7
Very Poor,Ahmedabad,28-03-2015,321,13.67,5.86,32.65,,5.86,27.89,38.54,,158.25,142.36,21.24,2.83
Very Poor,Ahmedabad,29-03-2015,372,8.68,4.99,25.37,,4.99,21.8,39.77,,237.76,96.28,14.95,1.28
Very Poor,Ahmedabad,30-03-2015,339,5.76,3.88,21.02,,3.88,17.99,39.66,,133.37,57.34,11.74,1.04
Very Poor,Ahmedabad,31-03-2015,339,9.94,6.52,26.18,,6.52,20,59.03,,133.3,51.58,21.13,2.31
Very Poor,Ahmedabad,01-04-2015,324,7.54,3.8,23.46,,3.8,20.07,46.61,,96.04,62.42,13.44,1.65
Poor,Ahmedabad,02-04-2015,222,9.49,5.24,23.06,,5.24,18.87,27.14,,77.69,100.48,11.77,1.6
Moderate,Ahmedabad,03-04-2015,169,4.47,4.17,17.45,,4.17,13.82,21.76,,53.07,40.36,6.94,0.42
Poor,Ahmedabad,04-04-2015,220,5.2,5.63,18.49,,5.63,15.5,4.72,,63.11,38.21,8.17,0.73
,Ahmedabad,05-04-2015,,3.88,3.92,20.97,,3.92,16.7,37.11,,156.76,26.32,10.78,0.97
Very Poor,Ahmedabad,06-04-2015,303,6.05,4.23,25.02,,4.23,20.86,35.66,,120.96,35.54,15.85,1.68
Very Poor,Ahmedabad,07-04-2015,314,11.25,5.65,30.67,,5.65,25.47,29.77,,138.63,87.43,24.67,3.12
Very Poor,Ahmedabad,08-04-2015,378,17.22,15.82,46.1,,15.82,30.69,27.34,,144.36,66.39,49.56,7.71
Severe,Ahmedabad,09-04-2015,415,7.58,3.3,27.41,,3.3,26.7,35.89,,85.03,59.16,29.19,4.08
,Ahmedabad,10-04-2015,,0,5.9,28.7,,5.9,26.27,7,,134.6,34.53,0,0
Moderate,Ahmedabad,11-04-2015,126,0,3.52,17.59,,3.52,14.03,19.54,,61.06,8.08,0,0.01
Moderate,Ahmedabad,12-04-2015,175,0,5.28,24.66,,5.28,19.56,31.3,,39.42,17.66,0,0
Poor,Ahmedabad,13-04-2015,226,0,3.89,25.17,,3.89,22.51,31.23,,111.86,15.84,0,0
Poor,Ahmedabad,14-04-2015,244,2.15,5.74,27.69,,5.74,21.71,43.92,,58.37,25.9,10.46,5.4
Very Poor,Ahmedabad,15-04-2015,315,1.21,18.01,44.34,,18.01,26.23,41.64,,95.37,13.59,3.28,20.78
Severe,Ahmedabad,16-04-2015,678,0.66,30.8,66.53,,30.8,36.88,37.66,,141.3,41.06,0.01,28.13
Severe,Ahmedabad,17-04-2015,774,1.67,19.91,54.77,,19.91,46.38,48.49,,106.68,31.56,0,15.95
Poor,Ahmedabad,18-04-2015,285,0.05,4.3,22.86,,4.3,20.27,31.34,,109.48,46.6,0,6.19
Very Poor,Ahmedabad,19-04-2015,321,0.2,6.99,26.78,,6.99,20.18,28.71,,126.04,79.56,0,6.4
Very Poor,Ahmedabad,20-04-2015,358,1.38,16.73,37.58,,16.73,21.32,28.39,,71.22,50.09,23.54,6.09
Very Poor,Ahmedabad,21-04-2015,357,0.21,6.3,23.45,,6.3,17.96,34.16,,97.87,13.85,4.91,2.95
Moderate,Ahmedabad,22-04-2015,189,0,3.44,15.44,,3.44,13.28,43.62,,63.38,24.79,0,1.23
,Ahmedabad,23-04-2015,,0,3.35,17.97,,3.35,14.29,60.71,,75.29,76.05,0.01,2.27
Poor,Ahmedabad,24-04-2015,214,0.05,5.7,24.23,,5.7,18.62,22.8,,80.9,65.44,0.09,3.46
Poor,Ahmedabad,25-04-2015,253,0.06,4.55,23.69,,4.55,19.82,22.18,,103.29,85.42,1.17,2.58
Poor,Ahmedabad,26-04-2015,239,0.09,5.29,19.73,,5.29,15.56,10.12,,107.5,74.37,0.16,2.91
,Ahmedabad,27-04-2015,,0,3.11,16.12,,3.11,14.77,59.73,,161.14,118.35,2.55,0
,Ahmedabad,28-04-2015,,0.02,3.88,16.82,,3.88,12.74,26.89,,102.58,41.94,6.4,0.76
Poor,Ahmedabad,29-04-2015,300,0.01,5.05,21.56,,5.05,16.7,27.18,,138.42,77.74,0.88,2.01
Very Poor,Ahmedabad,30-04-2015,317,0,5.69,19.66,,5.69,14.86,18.67,,129.04,78.27,0,1.54
Poor,Ahmedabad,01-05-2015,240,0.01,4.67,20.53,,4.67,15.9,11.83,,96.65,39.41,0,3.11
Very Poor,Ahmedabad,02-05-2015,344,0.22,15.69,39.73,,15.69,23.93,36.71,,126.77,93.18,0.04,10
Severe,Ahmedabad,03-05-2015,503,0.3,13.12,35.05,,13.12,23.02,81.6,,106.15,65.95,0.02,9.69
Very Poor,Ahmedabad,04-05-2015,308,0.47,2.69,10.9,,2.69,10.5,90.54,,86.31,50.13,0.15,12.8
Poor,Ahmedabad,05-05-2015,227,0.28,2.73,2.75,,2.73,0.08,69.57,,83.99,34.06,0.05,8.97
Moderate,Ahmedabad,06-05-2015,120,0.17,3.14,6.75,,3.14,4.58,32.26,,65.11,22.27,0.04,5.84
Moderate,Ahmedabad,07-05-2015,158,0,6.24,26.2,,6.24,20.47,31.44,,51.03,15.5,0,1.29
Moderate,Ahmedabad,08-05-2015,177,0,8,26.61,,8,19.28,25.7,,38.73,20.13,0,2.08
Poor,Ahmedabad,09-05-2015,201,0,9.94,27.18,,9.94,17.82,25.9,,61.12,39.69,0,3.49
Poor,Ahmedabad,10-05-2015,211,0,10.68,27.38,,10.68,17.24,18.89,,58.44,54.69,0,1.39
Poor,Ahmedabad,11-05-2015,221,0.01,11.44,27.61,,11.44,16.69,18.2,,61.49,42.66,0,2.59
Poor,Ahmedabad,12-05-2015,233,0,12.3,27.86,,12.3,16.08,22.35,,65.39,27.96,0,2.29
Severe,Ahmedabad,13-05-2015,481,4.9,20.42,37.83,,20.42,18.9,22.84,,100.92,31.9,19.26,8.21
Very Poor,Ahmedabad,14-05-2015,352,10.6,5.31,33.62,,5.31,30.02,16.26,,97.48,36.05,34.91,3.85
Very Poor,Ahmedabad,15-05-2015,327,16.9,14.28,41.92,,14.28,28.33,25.4,,129.27,70.13,44.19,4.97
Severe,Ahmedabad,16-05-2015,577,20.53,21.23,45.4,,21.23,28.79,34.42,,129.58,17.66,85.73,11.56
Severe,Ahmedabad,17-05-2015,411,4.92,7.56,24.33,,7.56,18.79,38.83,,100.57,38.76,17.94,1.54
Poor,Ahmedabad,18-05-2015,212,5.05,7.14,23.72,,7.14,17.43,29.05,,130.34,52.07,14,1.3
Poor,Ahmedabad,19-05-2015,280,5.23,8.05,23.34,,8.05,15.86,21.58,,53.24,36.23,15,1.02
Moderate,Ahmedabad,20-05-2015,162,0,10.44,21.8,,10.44,18.16,25.5,,42,17,0,0
,Ahmedabad,21-05-2015,,0.41,9.46,22.5,,9.46,14.9,12.91,,50.1,30.67,1.89,1.44
Severe,Ahmedabad,22-05-2015,569,12.62,10.89,27.15,,10.89,17.18,35.61,,83.69,41.12,20.2,17.84
Moderate,Ahmedabad,23-05-2015,128,3,2.18,17.74,,2.18,16.28,12.47,,38.88,26.4,6.96,6.37
Moderate,Ahmedabad,24-05-2015,129,3.41,2.96,18.49,,2.96,16.17,10.74,,46.89,41.96,8.87,3.53
Moderate,Ahmedabad,25-05-2015,152,3.72,4.12,19.28,,4.12,15.47,16.01,,70.96,23.67,8.13,4.06
Moderate,Ahmedabad,26-05-2015,176,2.39,4.23,18.06,,4.23,14.43,45.64,,53.66,14.46,6.4,3.53
Moderate,Ahmedabad,27-05-2015,167,2.5,4.26,17.1,,4.26,13.73,71.85,,45.49,12.85,5.96,3.36
Moderate,Ahmedabad,28-05-2015,106,3.03,5.27,21.42,,5.27,16.61,41.19,,60.86,14.91,9.18,6.54
Poor,Ahmedabad,29-05-2015,231,6.32,13.71,31.64,,13.71,17.87,12.88,,51.93,15.33,19.17,10.57
Very Poor,Ahmedabad,30-05-2015,327,4.79,6.67,23,,6.67,17.12,16.67,,77.87,46.82,9.78,5.1
Moderate,Ahmedabad,31-05-2015,174,2.64,5.6,20.42,,5.6,15.47,25.51,,57.59,41.68,6.3,3.08
Moderate,Ahmedabad,01-06-2015,185,3.74,7.02,21.13,,7.02,15.47,9.56,,77.22,71.97,8.45,1.17
Moderate,Ahmedabad,02-06-2015,179,2.73,7.25,19.66,,7.25,12.74,6.32,,45.29,18.64,6.99,0.76
Poor,Ahmedabad,03-06-2015,211,0.82,6.36,19.86,,6.36,13.9,15.27,,103.78,7.76,1.37,0.81
Moderate,Ahmedabad,04-06-2015,192,0,6.01,24.74,,6.01,18.73,38.52,,25.14,38.05,0,0
Very Poor,Ahmedabad,05-06-2015,310,0,8.05,25.53,,8.05,17.88,48.22,,87.03,23.84,0,0
Poor,Ahmedabad,06-06-2015,223,0,6.59,25.9,,6.59,19.84,44.78,,89.6,48.05,0,0
Moderate,Ahmedabad,07-06-2015,192,0,6.86,22.25,,6.86,16.07,32.65,,80.69,39.85,0,0
Moderate,Ahmedabad,08-06-2015,191,0,7.76,24.29,,7.76,16.53,8.07,,44.75,9.89,0,0
Moderate,Ahmedabad,09-06-2015,184,2.5,7.41,19.03,,7.41,11.62,6.69,,38.11,3.13,5.93,0.74
Poor,Ahmedabad,10-06-2015,220,5.09,8.56,24.15,,8.56,15.59,3.82,,45.5,0.76,8.52,1.82
Poor,Ahmedabad,11-06-2015,215,3.63,8.21,19.74,,8.21,11.52,5.17,,36.98,0.52,8.16,1.33
Poor,Ahmedabad,12-06-2015,226,3.59,8.26,21.58,,8.26,13.33,7.56,,43.58,1.02,6.79,1.5
Poor,Ahmedabad,13-06-2015,251,3.67,9.63,24.53,,9.63,14.91,2.94,,45.49,0.81,6.62,1.17
Poor,Ahmedabad,14-06-2015,216,2.85,8.67,27.25,,8.67,18.57,4.63,,38.06,1.05,5.12,0.74
Poor,Ahmedabad,15-06-2015,237,2.83,9.35,29.9,,9.35,20.55,4.5,,45.41,0.74,7.18,0.82
Moderate,Ahmedabad,16-06-2015,198,2.52,8.54,24.8,,8.54,16.26,4.6,,37.71,0.87,7.61,0.81
Moderate,Ahmedabad,17-06-2015,195,1.88,7.53,21.89,,7.53,14.36,12.17,,32.37,2.17,7.92,0.69
Moderate,Ahmedabad,18-06-2015,187,1.82,7.59,21.11,,7.59,13.51,12.22,,34.74,4.11,6.19,0.47
Moderate,Ahmedabad,19-06-2015,181,2.55,7.34,21.25,,7.34,13.91,11.85,,32.56,4.04,9.3,0.97
Moderate,Ahmedabad,20-06-2015,179,1.64,7.55,19.23,,7.55,11.68,12.64,,29.28,4.01,7,0.62
Moderate,Ahmedabad,21-06-2015,188,1.26,7.15,17.76,,7.15,10.61,12.7,,20.46,5.62,5.17,0.32
Moderate,Ahmedabad,22-06-2015,190,1.5,7.99,19.06,,7.99,11.07,10.57,,26.07,4.1,6.9,0.63
Moderate,Ahmedabad,23-06-2015,185,1.4,7.45,18.62,,7.45,11.16,7.38,,21.43,4.99,6.69,0.76
Moderate,Ahmedabad,24-06-2015,189,1.3,7.34,17.44,,7.34,10.1,5.47,,11.91,10.86,12.23,0.73
Moderate,Ahmedabad,25-06-2015,196,1.98,8.68,18.36,,8.68,9.68,3.06,,57.75,12.28,6.51,0.74
Poor,Ahmedabad,26-06-2015,201,1.76,8.58,21.36,,8.58,12.79,4.96,,66.39,11.09,6.18,0.57
Poor,Ahmedabad,27-06-2015,231,1.87,9.15,18.98,,9.15,9.83,6.44,,62.61,12.31,5.47,0.37
Moderate,Ahmedabad,28-06-2015,196,1.34,8.07,17.59,,8.07,9.53,7.28,,47.5,13.91,3.97,0.12
Poor,Ahmedabad,29-06-2015,220,1.84,9.23,20.74,,9.23,11.51,5.99,,111.8,5.27,5.69,0.28
Poor,Ahmedabad,30-06-2015,244,1.32,8.87,22.64,,8.87,13.59,6.31,,30,8.09,4.59,0.16
Poor,Ahmedabad,01-07-2015,223,1.27,9.01,20.36,,9.01,10.9,6.38,,4.66,7.31,3.94,0.13
Poor,Ahmedabad,02-07-2015,230,1.77,9.56,21.5,,9.56,11.94,6.61,,48.72,5.72,4.96,0.39
Poor,Ahmedabad,03-07-2015,243,2,9.43,19.23,,9.43,9.81,6.42,,49.7,6.78,4.79,0.31
Poor,Ahmedabad,04-07-2015,215,1.68,8.03,17.57,,8.03,9.53,7.6,,48.1,9.33,4.41,0.18
Moderate,Ahmedabad,05-07-2015,199,2.1,8.11,17.56,,8.11,9.45,7.08,,47.43,7.93,3.6,0.13
Moderate,Ahmedabad,06-07-2015,200,2.15,8.91,21.28,,8.91,12.38,5.78,,51.74,10.05,3.64,0.27
Poor,Ahmedabad,07-07-2015,226,1.62,9.74,20.82,,9.74,11.08,4.44,,42.68,10.87,4.96,0.39
Poor,Ahmedabad,08-07-2015,241,2.46,10.55,18.35,,10.55,7.8,3.24,,38.45,10.28,4.79,0.41
Poor,Ahmedabad,09-07-2015,222,1.77,11.48,11.64,,11.48,0.17,5.76,,46.69,10.25,4.34,0.15
Poor,Ahmedabad,10-07-2015,223,1.69,11.55,11.66,,11.55,0.12,6.55,,55.27,12.7,4.17,0.22
Poor,Ahmedabad,11-07-2015,248,1.71,11.49,11.65,,11.49,0.16,7.27,,149.03,10.07,5.72,0.19
Poor,Ahmedabad,12-07-2015,300,1.57,11.47,11.64,,11.47,0.17,6.53,,86.57,11.09,3.85,0.09
Poor,Ahmedabad,13-07-2015,232,1.72,11.3,11.53,,11.3,0.24,4.67,,111.77,7.73,4.52,0.16
Very Poor,Ahmedabad,14-07-2015,330,0.95,10.8,11.16,,10.8,0.36,5.46,,151.4,7.8,3.54,0.12
Poor,Ahmedabad,15-07-2015,223,1.54,8,10.67,,8,2.69,5.76,,51.35,10,4.32,0.35
Moderate,Ahmedabad,16-07-2015,105,1.63,0.64,8.57,,0.64,8.07,8.02,,65.37,16.31,4.34,0.28
Moderate,Ahmedabad,17-07-2015,101,1.52,0.6,8.51,,0.6,8.02,6.2,,56.28,18.93,3.74,0.29
Satisfactory,Ahmedabad,18-07-2015,93,1.23,0.65,8.55,,0.65,8,7.97,,48.17,18.99,4.74,0.12
Satisfactory,Ahmedabad,19-07-2015,67,0.61,0.72,8.56,,0.72,7.89,10.18,,33.56,11.28,3.85,0.08
Satisfactory,Ahmedabad,20-07-2015,60,0.52,0.55,8.49,,0.55,8.1,7.44,,31.3,10.29,2.31,0.06
,Ahmedabad,21-07-2015,,5,0.67,8.43,,0.67,7.9,6.3,,48.12,1.28,21.75,1.54
Satisfactory,Ahmedabad,22-07-2015,90,2.81,0.55,8.42,,0.55,8.28,2.6,,57.11,14.58,14.53,1.87
Satisfactory,Ahmedabad,23-07-2015,78,1.44,0.1,7.88,,0.1,9.73,4.87,,34.72,13.62,5.22,0.38
Good,Ahmedabad,24-07-2015,48,1.37,0.06,7.77,,0.06,9.57,5.08,,29.22,13.58,3.65,0.32
Satisfactory,Ahmedabad,25-07-2015,53,0.36,0.14,7.97,,0.14,8.64,5.34,,29.79,15.11,1.05,0.14
Satisfactory,Ahmedabad,26-07-2015,91,0.52,0.18,8.16,,0.18,8.78,2.79,,59.95,11.52,1.23,0.22
Satisfactory,Ahmedabad,27-07-2015,70,1.29,1.52,9.74,,1.52,9.45,4.61,,19.2,11.23,3.29,0.15
Moderate,Ahmedabad,28-07-2015,157,0.58,5.89,17.15,,5.89,11.26,4.4,,19.52,11.56,1.44,0.07
Moderate,Ahmedabad,29-07-2015,158,1.61,5.75,16.64,,5.75,10.89,3.67,,35.16,14.7,3.71,0.48
Moderate,Ahmedabad,30-07-2015,169,1.65,7.01,17.58,,7.01,10.58,3.53,,33.03,12.95,3.96,0.37
Moderate,Ahmedabad,31-07-2015,174,2.05,6.92,17.39,,6.92,10.47,3.38,,40.95,19.8,5.08,0.44
Moderate,Ahmedabad,01-08-2015,173,1.85,6.74,17.26,,6.74,10.52,3.57,,40.29,8.27,4.34,0.39
Moderate,Ahmedabad,02-08-2015,172,1.8,6.91,17.42,,6.91,10.51,3.69,,41.16,13.48,4.23,0.33
Moderate,Ahmedabad,03-08-2015,190,1.67,7.21,17.07,,7.21,11.56,6.08,,36.12,13.62,2.85,0.11
Moderate,Ahmedabad,04-08-2015,171,1.36,6.69,27.21,,6.69,20.52,7.65,,28.51,5.69,2.17,0.09
Moderate,Ahmedabad,05-08-2015,168,0.72,6.99,27.41,,6.99,20.42,7.9,,31.59,9.23,2.29,0.12
Moderate,Ahmedabad,06-08-2015,172,1.36,7.17,27.57,,7.17,20.4,9.86,,42.56,6.28,2.94,0.28
Moderate,Ahmedabad,07-08-2015,173,1.22,7.14,27.45,,7.14,20.3,12.78,,48.12,6.77,3.39,0.26
Moderate,Ahmedabad,08-08-2015,175,0.86,7.22,27.42,,7.22,20.21,7.94,,37.09,8.66,2.98,0.16
Moderate,Ahmedabad,09-08-2015,179,0.8,7.4,27.5,,7.4,20.09,8.39,,33.4,9.95,2.13,0.07
Moderate,Ahmedabad,10-08-2015,174,1.31,7.35,27.55,,7.35,20.21,6.28,,38.64,9.74,2.8,0.27
Moderate,Ahmedabad,11-08-2015,176,1.17,7.48,27.71,,7.48,20.23,21.51,,40.49,8.92,3,0.11
Moderate,Ahmedabad,12-08-2015,179,1.82,7.47,27.68,,7.47,20.2,19.8,,41.37,11.73,2.85,0.17
Moderate,Ahmedabad,13-08-2015,175,1.38,7.49,27.55,,7.49,20.06,22.77,,44.56,11.23,3.36,0.44
Moderate,Ahmedabad,14-08-2015,177,3.62,7.57,27.51,,7.57,19.94,30.21,,65.68,8.21,5.79,1
Moderate,Ahmedabad,15-08-2015,175,0,7.3,27.57,,7.3,20.27,32.95,,33.34,6.41,0,0.02
