Age Group,Ever Married,Gender,Graduated,ID,Martial Status,Profession,Spending Level,Spending Score,Age,Family Size,Work Experience
Senior,Yes,Male,Yes,459682,Married,Executive,Low Spender,Average,51,3,2
Senior,Yes,Male,No,461214,Married,Entertainment,Low Spender,Average,69,2,7
Middle-Aged,Yes,Male,Yes,466671,Married,Healthcare,Low Spender,Average,39,2,5
Middle-Aged,Yes,Female,Yes,466223,Married,Artist,Low Spender,Average,41,4,4
Senior,Yes,Male,Yes,464673,Married,Healthcare,Top Spender,High,69,2,0
Senior,Yes,Male,Yes,462516,Married,Artist,Low Spender,Average,53,4,
Young Adult,Yes,Male,No,462864,Married,Healthcare,Low Spender,Average,18,2,0
Middle-Aged,No,Female,Yes,467275,Single,Marketing,Low Spender,Low,42,3,1
Senior,No,Male,No,460894,Single,Healthcare,Low Spender,Low,53,4,1
Young Adult,Yes,Male,No,459439,Married,,Low Spender,Average,29,2,0
Senior,Yes,Male,Yes,459364,Married,Lawyer,Top Spender,High,68,4,0
Middle-Aged,Yes,Male,Yes,467347,Married,Artist,Low Spender,Average,50,4,0
Middle-Aged,No,Female,No,461409,Single,,Low Spender,Low,42,1,8
Middle-Aged,Yes,Female,Yes,465285,Married,Artist,Low Spender,Average,35,2,1
Middle-Aged,Yes,Female,No,464370,Married,Engineer,Low Spender,Low,42,5,0
Middle-Aged,No,Female,Yes,460695,Single,Healthcare,Low Spender,Low,36,3,0
Middle-Aged,No,Female,Yes,466576,Single,Artist,Low Spender,Low,36,,1
Young Adult,No,Male,No,466494,Single,Healthcare,Low Spender,Low,19,4,7
Senior,Yes,Male,Yes,465563,Married,Artist,Low Spender,Average,61,2,8
Senior,Yes,Male,Yes,467552,Married,Doctor,Low Spender,Average,57,4,0
Middle-Aged,No,Male,No,461417,Single,Healthcare,Low Spender,Low,38,4,
Young Adult,No,Female,No,461207,Single,Healthcare,Low Spender,Low,26,4,9
Young Adult,Yes,Female,No,467665,Married,Engineer,Low Spender,Average,20,2,1
Middle-Aged,Yes,Female,Yes,460317,Married,Artist,Low Spender,Low,47,1,0
Young Adult,Yes,Male,No,462809,Married,Entertainment,Low Spender,Low,27,2,7
Middle-Aged,Yes,Male,Yes,464977,Married,Artist,Low Spender,Average,50,4,0
Young Adult,No,Male,No,459010,Single,Healthcare,Low Spender,Low,29,4,3
Young Adult,Yes,Male,No,462571,Married,Healthcare,Low Spender,Low,28,1,
Senior,Yes,Male,No,463153,Married,Entertainment,Top Spender,High,67,2,
Middle-Aged,Yes,Male,Yes,463832,Married,Artist,Top Spender,High,42,2,1
Middle-Aged,No,Female,No,461303,Single,Marketing,Low Spender,Low,31,3,8
Young Adult,No,Male,No,464814,Single,Healthcare,Low Spender,Low,29,9,0
Middle-Aged,Yes,Female,Yes,464367,Married,Artist,Low Spender,Average,35,2,0
Middle-Aged,Yes,Male,Yes,460564,Married,Executive,Top Spender,High,41,2,0
Young Adult,No,Female,No,462020,Single,Healthcare,Low Spender,Low,20,6,1
Senior,No,Female,Yes,460979,Single,Engineer,Low Spender,Low,52,1,8
Senior,Yes,Female,Yes,467938,Married,Artist,Low Spender,Average,51,3,1
Middle-Aged,Yes,Male,Yes,467506,Married,Homemaker,Low Spender,Average,38,3,8
Senior,Yes,Male,Yes,462395,Married,Engineer,Low Spender,Average,66,3,0
Middle-Aged,Yes,Female,Yes,466128,Married,Artist,Low Spender,Average,50,4,
Middle-Aged,No,Male,Yes,465934,Single,Artist,Low Spender,Low,31,4,0
Senior,Yes,Male,Yes,466145,Married,Entertainment,Low Spender,Low,63,2,3
Middle-Aged,No,Male,Yes,461807,Single,Artist,Low Spender,Low,46,1,5
Middle-Aged,Yes,Female,Yes,460533,Married,Artist,Low Spender,Average,40,5,0
Young Adult,No,Male,No,462062,Single,Healthcare,Low Spender,Low,26,4,12
Young Adult,No,Female,No,464581,Single,Healthcare,Low Spender,Low,27,4,0
Middle-Aged,Yes,Male,Yes,461463,Married,Artist,Low Spender,Average,48,5,0
Middle-Aged,Yes,Male,,466861,Married,Homemaker,Low Spender,Average,49,2,8
Young Adult,No,Male,No,465629,Single,Healthcare,Low Spender,Low,23,8,0
Senior,No,Female,No,460478,Single,Marketing,Low Spender,Low,61,,
Young Adult,No,Female,No,466216,Single,Healthcare,Low Spender,Low,22,4,1
Middle-Aged,No,Female,No,459983,Single,Marketing,Low Spender,Low,31,1,
Young Adult,No,Male,Yes,459720,Single,Healthcare,Low Spender,Low,28,3,
Young Adult,Yes,Female,No,463380,Married,Homemaker,Low Spender,Average,25,3,
Middle-Aged,Yes,Male,Yes,466377,Married,Artist,Low Spender,Low,36,1,6
Middle-Aged,Yes,Male,No,461891,Married,Artist,Low Spender,Average,32,3,8
Middle-Aged,Yes,Male,Yes,464023,Married,Entertainment,Low Spender,Low,38,4,0
Middle-Aged,Yes,Male,Yes,460952,Married,Entertainment,Low Spender,Low,37,2,1
Middle-Aged,Yes,Male,Yes,465970,Married,Artist,Low Spender,Low,46,1,
Middle-Aged,,Female,Yes,465212,Single,Entertainment,Low Spender,Low,45,,1
Middle-Aged,Yes,Male,Yes,465114,Married,Artist,Low Spender,Low,36,2,3
Young Adult,No,Female,No,465425,Single,Healthcare,Low Spender,Low,23,3,4
Senior,Yes,Male,Yes,463196,Married,Artist,Top Spender,High,82,2,1
Middle-Aged,No,Male,Yes,464378,Single,Healthcare,Low Spender,Low,31,4,1
Middle-Aged,No,Male,Yes,465333,Single,Lawyer,Low Spender,Low,49,2,1
Young Adult,No,Male,Yes,461088,Single,Healthcare,Low Spender,Low,25,5,4
Young Adult,Yes,Male,Yes,461498,Married,Executive,Top Spender,High,28,2,
Young Adult,No,Female,No,460479,Single,Marketing,Low Spender,Low,18,6,0
Middle-Aged,Yes,Male,Yes,463696,Married,Artist,Low Spender,Average,35,2,10
Young Adult,No,Male,No,462021,Single,Healthcare,Low Spender,Low,23,,0
Middle-Aged,No,Male,Yes,462947,Single,Healthcare,Low Spender,Low,32,9,4
Middle-Aged,Yes,Male,Yes,466371,Married,Entertainment,Low Spender,Average,47,4,4
Middle-Aged,No,Female,Yes,459958,Single,Entertainment,Low Spender,Low,31,1,8
Young Adult,No,Male,No,459479,Single,Healthcare,Low Spender,Low,25,4,
Middle-Aged,Yes,Male,No,460859,Married,Engineer,Low Spender,Low,43,5,6
Young Adult,Yes,Male,Yes,464205,Married,Artist,Low Spender,Low,29,2,1
Senior,No,Female,Yes,465807,Single,Engineer,Low Spender,Low,55,1,0
Senior,Yes,Male,Yes,467314,Married,Artist,Low Spender,Average,57,4,0
Middle-Aged,No,Male,No,465573,Single,Entertainment,Low Spender,Low,38,1,1
Senior,Yes,Female,Yes,460489,Married,Artist,Low Spender,Average,62,2,
Middle-Aged,Yes,Female,No,460800,Married,Marketing,Low Spender,Average,50,2,14
Senior,Yes,Male,Yes,461189,Married,Lawyer,Top Spender,High,82,2,1
Middle-Aged,Yes,Female,Yes,461020,Married,Artist,Low Spender,Low,50,2,1
Middle-Aged,Yes,Male,No,462971,Married,Homemaker,Low Spender,Average,40,4,8
Middle-Aged,No,Male,Yes,459901,Single,Marketing,Low Spender,Low,41,1,1
Middle-Aged,,Male,No,467169,Single,Entertainment,Low Spender,Low,47,2,1
Middle-Aged,No,Male,Yes,467610,Single,Artist,Low Spender,Low,35,4,13
Middle-Aged,No,Male,Yes,461227,Single,Artist,Low Spender,Low,33,2,0
Senior,Yes,Female,No,461242,Married,Executive,Top Spender,High,89,3,0
Senior,Yes,Male,Yes,463073,Married,Artist,Low Spender,Average,79,4,4
Senior,Yes,Female,No,463465,Married,Lawyer,Top Spender,High,63,2,7
Young Adult,No,Female,No,465776,Single,Doctor,Low Spender,Low,26,2,1
Senior,No,Male,Yes,462029,Single,Doctor,Low Spender,Low,53,1,9
Senior,Yes,Male,Yes,464041,Married,Lawyer,Top Spender,High,69,6,1
Young Adult,No,Female,No,463851,Single,Entertainment,Low Spender,Low,25,,1
Middle-Aged,Yes,Female,No,462569,Married,Engineer,Low Spender,Low,45,2,1
Senior,Yes,Male,Yes,465848,Married,Entertainment,Top Spender,High,76,4,
Senior,Yes,Male,Yes,461661,Married,Doctor,Top Spender,High,59,2,9
Senior,Yes,Male,Yes,467402,Married,Entertainment,Low Spender,Low,52,2,
Middle-Aged,Yes,Male,Yes,463306,Married,Entertainment,Low Spender,Average,33,6,0
Senior,No,Male,Yes,467572,Single,Doctor,Low Spender,Low,58,1,0
Young Adult,No,Male,No,461827,Single,Doctor,Low Spender,Low,28,3,3
Young Adult,No,Male,Yes,462488,Single,Healthcare,Low Spender,Low,21,6,
Young Adult,No,Female,No,460149,Single,,Low Spender,Low,23,3,3
Middle-Aged,No,Female,Yes,464402,Single,Artist,Low Spender,Low,32,5,8
Middle-Aged,Yes,Male,Yes,461568,Married,Artist,Low Spender,Average,41,4,1
Middle-Aged,No,Male,Yes,464426,Single,Engineer,Low Spender,Low,30,1,7
Young Adult,No,Male,Yes,460916,Single,Entertainment,Low Spender,Low,27,5,5
Middle-Aged,Yes,Female,No,465119,Married,Homemaker,Top Spender,High,47,4,
Middle-Aged,Yes,Male,Yes,461440,Married,Artist,Top Spender,High,36,4,9
Young Adult,No,Female,No,461920,Single,Healthcare,Low Spender,Low,22,3,0
Young Adult,No,Male,No,464858,Single,Healthcare,Low Spender,Low,19,5,1
Middle-Aged,No,Female,Yes,465598,Single,Doctor,Low Spender,Low,30,5,9
Young Adult,No,Male,No,467508,Single,Healthcare,Low Spender,Low,21,4,
Senior,Yes,Male,No,463160,Married,Lawyer,Low Spender,Low,78,1,1
Middle-Aged,No,Female,No,459655,Single,Marketing,Low Spender,Low,36,,
Young Adult,Yes,Male,No,462129,Married,Healthcare,Low Spender,Low,29,6,0
Young Adult,No,Male,Yes,460772,Single,Healthcare,Low Spender,Low,22,6,0
Senior,Yes,Female,No,465362,Married,Lawyer,Top Spender,High,77,2,
Senior,Yes,Male,Yes,467185,Married,Entertainment,Low Spender,Low,55,2,0
Middle-Aged,Yes,Male,Yes,461649,Married,Artist,Low Spender,Low,37,2,5
Young Adult,No,Male,No,465996,Single,Homemaker,Low Spender,Low,25,3,
Middle-Aged,Yes,Male,Yes,466566,Married,Artist,Low Spender,Average,49,3,6
Young Adult,No,Male,No,466513,Single,Healthcare,Low Spender,Low,19,4,10
Senior,Yes,Male,Yes,461769,Married,Artist,Low Spender,Average,61,2,0
Young Adult,No,Male,No,462479,Single,Doctor,Low Spender,Low,26,2,6
Young Adult,No,Female,No,459893,Single,Marketing,Low Spender,Low,23,3,8
Senior,Yes,Male,No,462300,Married,Lawyer,Low Spender,Low,77,1,1
Senior,Yes,Male,No,459979,Married,Executive,Top Spender,High,75,2,
Senior,Yes,Female,Yes,461464,Married,Artist,Low Spender,Low,51,3,1
Senior,Yes,Male,Yes,466953,Married,Artist,Low Spender,Average,52,4,1
Middle-Aged,No,Male,Yes,459190,Single,Healthcare,Low Spender,Low,32,3,1
Middle-Aged,No,Female,No,465878,Single,Engineer,Low Spender,Low,32,4,1
Senior,Yes,Female,Yes,462468,Married,Artist,Low Spender,Average,64,3,0
Senior,Yes,Male,Yes,459438,Married,Executive,Top Spender,High,61,4,
Senior,Yes,Male,No,464770,Married,Lawyer,Top Spender,High,77,2,0
Senior,Yes,Male,Yes,467855,Married,Doctor,Low Spender,Average,62,2,
Middle-Aged,Yes,Male,No,465382,Married,Executive,Low Spender,Low,37,4,1
Senior,Yes,Female,Yes,467159,Married,Lawyer,Top Spender,High,76,2,0
Middle-Aged,Yes,Female,No,460089,Married,Engineer,Low Spender,Low,50,2,3
Young Adult,Yes,Male,No,460718,Married,Healthcare,Low Spender,Low,18,7,6
Middle-Aged,Yes,Female,Yes,459452,Married,Executive,Top Spender,High,30,3,0
Middle-Aged,No,Male,Yes,461948,Single,Executive,Low Spender,Low,41,2,8
Middle-Aged,Yes,Male,Yes,460249,Married,Artist,Low Spender,Low,40,2,
Middle-Aged,No,Male,Yes,465627,Single,Artist,Low Spender,Low,31,,6
Young Adult,No,Male,Yes,460877,Single,Healthcare,Low Spender,Low,25,5,5
Senior,Yes,Female,Yes,463191,Married,Lawyer,Low Spender,Low,80,1,0
Middle-Aged,Yes,Male,No,464018,Married,Marketing,Low Spender,Low,30,4,1
Senior,No,Female,Yes,465521,Single,Homemaker,Low Spender,Low,51,1,5
Middle-Aged,Yes,Female,Yes,460970,Married,Doctor,Top Spender,High,40,2,4
Middle-Aged,No,Female,Yes,459630,Single,Engineer,Low Spender,Low,30,1,9
Middle-Aged,No,Male,No,462887,Single,Marketing,Low Spender,Low,33,2,1
Middle-Aged,Yes,Female,Yes,460952,Married,Homemaker,Low Spender,Low,36,,8
Senior,Yes,Female,Yes,466171,Married,Entertainment,Low Spender,Low,71,1,1
Senior,Yes,Male,,466337,Married,Entertainment,Low Spender,Average,63,2,1
Senior,,Male,Yes,465950,Single,Executive,Top Spender,High,62,2,1
Young Adult,No,Female,Yes,462122,Single,Artist,Low Spender,Low,27,3,3
Middle-Aged,No,Female,No,465074,Single,Engineer,Low Spender,Low,45,1,1
Senior,Yes,Female,Yes,459836,Married,Artist,Low Spender,Average,53,2,8
Middle-Aged,Yes,Female,No,463208,Married,Marketing,Low Spender,Low,41,3,0
Senior,Yes,Male,No,465894,Married,Entertainment,Low Spender,Average,58,2,1
Middle-Aged,Yes,Female,No,459769,Married,Artist,Low Spender,Average,48,4,
Middle-Aged,Yes,Female,Yes,461859,Married,Artist,Low Spender,Average,47,2,8
Young Adult,No,Male,No,467304,Single,Entertainment,Low Spender,Low,28,1,6
Middle-Aged,Yes,Male,Yes,466897,Married,Executive,Top Spender,High,30,2,1
Middle-Aged,Yes,Male,Yes,460855,Married,Artist,Low Spender,Average,40,,0
Middle-Aged,Yes,Female,Yes,459916,Married,Artist,Low Spender,Average,48,4,1
Middle-Aged,No,Male,No,460857,Single,Healthcare,Low Spender,Low,33,4,0
Senior,Yes,Male,No,463924,Married,Lawyer,Low Spender,Low,61,2,1
Young Adult,No,Male,No,463713,Single,Healthcare,Low Spender,Low,23,,0
Senior,Yes,Male,Yes,460219,Married,Artist,Low Spender,Low,61,,5
Middle-Aged,No,Female,No,467236,Single,Engineer,Low Spender,Low,33,3,
Middle-Aged,Yes,Male,Yes,464695,Married,Artist,Low Spender,Low,48,4,
Young Adult,No,Male,Yes,464860,Single,Entertainment,Low Spender,Low,25,4,1
Young Adult,No,Male,No,462646,Single,Doctor,Low Spender,Low,19,5,1
Young Adult,No,Female,No,463254,Single,Doctor,Low Spender,Low,26,3,1
Middle-Aged,No,Female,Yes,464472,Single,Doctor,Low Spender,Low,38,5,
Middle-Aged,Yes,Male,Yes,467269,Married,Artist,Low Spender,Low,32,2,1
Middle-Aged,No,Female,No,460387,Single,Entertainment,Low Spender,Low,40,1,8
Young Adult,No,Female,No,463807,Single,Healthcare,Low Spender,Low,19,7,3
Middle-Aged,Yes,Female,Yes,461330,Married,Artist,Low Spender,Low,40,2,4
Young Adult,Yes,Male,Yes,463897,Married,Artist,Top Spender,High,28,2,1
Senior,Yes,Male,Yes,465049,Married,Artist,Low Spender,Average,53,2,0
Middle-Aged,Yes,Male,No,466379,Married,Executive,Low Spender,Average,33,2,0
Middle-Aged,Yes,Male,Yes,461076,Married,Healthcare,Top Spender,High,49,4,0
Young Adult,No,Male,No,463511,Single,Healthcare,Low Spender,Low,18,3,0
Young Adult,No,Male,No,461235,Single,Doctor,Low Spender,Low,21,2,0
Young Adult,No,Male,No,462296,Single,Doctor,Low Spender,Low,21,4,9
Senior,Yes,Male,No,459281,Married,Executive,Top Spender,High,62,,0
Senior,Yes,Female,Yes,461826,Married,Lawyer,Low Spender,Average,71,2,0
Young Adult,No,Male,Yes,463702,Single,Doctor,Low Spender,Low,27,1,3
Young Adult,No,Female,No,460153,Single,Doctor,Low Spender,Low,22,4,1
Senior,,Female,Yes,464577,Single,Healthcare,Low Spender,Low,52,2,0
Middle-Aged,No,Female,No,465655,Single,Homemaker,Low Spender,Low,32,,
Young Adult,No,Male,Yes,465878,Single,Healthcare,Low Spender,Low,29,5,9
Middle-Aged,No,Male,Yes,465660,Single,Artist,Low Spender,Low,47,2,0
Young Adult,No,Female,No,467717,Single,Healthcare,Low Spender,Low,23,5,1
Senior,Yes,Female,Yes,466491,Married,Lawyer,Top Spender,High,88,2,1
Middle-Aged,No,Male,Yes,462748,Single,Doctor,Low Spender,Low,35,2,9
Senior,Yes,Female,Yes,467638,Married,Engineer,Low Spender,Low,51,2,2
Young Adult,No,Female,No,461708,Single,Artist,Low Spender,Low,28,,0
Middle-Aged,No,Male,Yes,460436,Single,Artist,Low Spender,Low,38,2,1
Senior,Yes,Female,Yes,463015,Married,Lawyer,Top Spender,High,77,2,
Senior,Yes,Male,No,466715,Married,Lawyer,Low Spender,Low,80,,1
Middle-Aged,No,Male,Yes,465820,Single,Artist,Low Spender,Low,42,4,1
Senior,Yes,Female,Yes,464016,Married,Engineer,Low Spender,Average,61,2,0
Senior,Yes,Male,Yes,467647,Married,Lawyer,Top Spender,High,74,2,1
Middle-Aged,Yes,Female,No,465017,Married,Engineer,Top Spender,High,50,6,6
Young Adult,Yes,Female,Yes,461375,Married,Artist,Low Spender,Low,25,1,2
Middle-Aged,No,Male,Yes,459078,Single,Healthcare,Low Spender,Low,32,2,8
Senior,Yes,Female,Yes,459898,Married,Artist,Low Spender,Low,59,1,
Young Adult,No,Male,Yes,461091,Single,Entertainment,Low Spender,Low,27,6,8
Middle-Aged,Yes,Male,Yes,463488,Married,Doctor,Low Spender,Average,48,2,
Senior,No,Female,Yes,459218,Single,Executive,Low Spender,Low,53,2,0
Middle-Aged,No,Female,Yes,463616,Single,Artist,Low Spender,Low,31,2,1
Senior,Yes,Female,No,459358,Married,Artist,Top Spender,High,84,2,
Middle-Aged,No,Female,Yes,459636,Single,Artist,Low Spender,Low,39,2,6
Middle-Aged,Yes,Female,Yes,459641,Married,Artist,Low Spender,Low,39,1,1
Senior,Yes,Female,Yes,459315,Married,Artist,Low Spender,Low,58,,0
Young Adult,No,Female,No,465795,Single,Healthcare,Low Spender,Low,29,2,
Middle-Aged,Yes,Male,,460624,Married,Artist,Top Spender,High,47,2,4
Senior,Yes,Female,Yes,466971,Married,Artist,Low Spender,Low,59,1,0
Middle-Aged,Yes,Male,No,467722,Married,Entertainment,Low Spender,Low,50,8,1
Middle-Aged,No,Female,No,462815,Single,Engineer,Low Spender,Low,31,4,1
Senior,Yes,Male,Yes,461565,Married,Executive,Low Spender,Low,72,3,1
Senior,Yes,Male,Yes,465996,Married,Artist,Low Spender,Average,52,2,9
Senior,Yes,Male,Yes,467248,Married,Entertainment,Low Spender,Low,51,3,
Middle-Aged,Yes,Female,No,461237,Married,Homemaker,Top Spender,High,48,4,9
Senior,Yes,Male,Yes,465865,Married,Artist,Low Spender,Average,60,7,1
Young Adult,Yes,Female,Yes,461768,Married,Healthcare,Low Spender,Low,28,2,
Middle-Aged,Yes,Female,No,467370,Married,Entertainment,Low Spender,Average,50,4,2
Middle-Aged,No,Male,No,460575,Single,Healthcare,Low Spender,Low,32,2,7
Young Adult,No,Female,Yes,461217,Single,Engineer,Low Spender,Low,26,3,0
Young Adult,Yes,Female,No,461480,Married,Doctor,Low Spender,Low,27,1,0
Middle-Aged,Yes,Female,Yes,465037,Married,Engineer,Low Spender,Low,41,8,0
Middle-Aged,No,Female,Yes,467138,Single,Artist,Low Spender,Low,47,2,0
Senior,Yes,Male,No,464917,Married,Executive,Top Spender,High,57,,1
Middle-Aged,Yes,Female,Yes,460716,Married,Artist,Low Spender,Average,43,3,1
Middle-Aged,No,Female,No,465500,Single,Marketing,Low Spender,Low,42,3,4
Middle-Aged,Yes,Female,Yes,460405,Married,Artist,Low Spender,Low,48,1,8
Middle-Aged,Yes,Male,No,460132,Married,Executive,Top Spender,High,46,4,0
Senior,Yes,Male,Yes,465947,Married,Artist,Low Spender,Average,57,4,1
Senior,Yes,Female,Yes,459535,Married,Lawyer,Top Spender,High,69,2,0
Young Adult,No,Male,No,461525,Single,Doctor,Low Spender,Low,18,2,2
Young Adult,No,Male,No,460255,Single,Healthcare,Low Spender,Low,18,5,0
Middle-Aged,Yes,Male,Yes,460523,Married,Healthcare,Low Spender,Average,35,3,6
Middle-Aged,Yes,Male,Yes,460709,Married,Artist,Low Spender,Low,42,1,3
Young Adult,No,Male,Yes,459957,Single,Artist,Low Spender,Low,29,3,
Middle-Aged,No,Female,No,464280,Single,Engineer,Low Spender,Low,32,2,6
Middle-Aged,No,Female,Yes,461464,Single,Healthcare,Low Spender,Low,30,9,8
Middle-Aged,Yes,Male,Yes,466772,Married,Homemaker,Low Spender,Average,39,4,8
Senior,Yes,Male,Yes,459413,Married,Lawyer,Top Spender,High,83,2,0
Young Adult,No,Female,No,462199,Single,Healthcare,Low Spender,Low,23,5,0
Middle-Aged,Yes,Female,No,465749,Married,Engineer,Low Spender,Low,40,4,1
Senior,Yes,Male,No,467233,Married,Artist,Low Spender,Average,59,4,8
Middle-Aged,Yes,Female,Yes,465531,Married,Artist,Low Spender,Average,41,3,
Middle-Aged,Yes,Male,Yes,463721,Married,Doctor,Low Spender,Average,38,3,0
Senior,Yes,Male,Yes,467077,Married,Artist,Low Spender,Low,60,1,2
Middle-Aged,No,Female,Yes,465830,Single,Lawyer,Low Spender,Low,38,1,1
Senior,Yes,Male,Yes,459971,Married,Lawyer,Low Spender,Low,76,2,
Senior,,Male,No,461177,Single,Lawyer,Low Spender,Low,86,1,1
Middle-Aged,No,Male,,464818,Single,Executive,Low Spender,Low,41,1,0
Middle-Aged,No,Female,No,462208,Single,Healthcare,Low Spender,Low,30,4,0
Middle-Aged,Yes,Male,No,466688,Married,Doctor,Top Spender,High,42,5,2
Middle-Aged,Yes,Female,Yes,462886,Married,Artist,Low Spender,Low,37,2,5
Senior,Yes,Female,Yes,463225,Married,Artist,Top Spender,High,67,2,0
Middle-Aged,Yes,Male,Yes,467376,Married,Artist,Low Spender,Average,49,4,9
Young Adult,No,Female,No,461579,Single,Doctor,Low Spender,Low,23,4,5
Middle-Aged,Yes,Female,No,461121,Married,Entertainment,Low Spender,Low,50,2,0
Middle-Aged,Yes,Female,Yes,462143,Married,Artist,Low Spender,Average,49,4,8
Young Adult,No,Male,Yes,461939,Single,Healthcare,Low Spender,Low,20,4,10
Middle-Aged,Yes,Male,Yes,467518,Married,Engineer,Low Spender,Low,35,2,1
Senior,No,Female,Yes,466424,Single,Artist,Low Spender,Low,55,1,1
Middle-Aged,Yes,Male,Yes,466873,Married,Artist,Low Spender,Average,47,5,8
Middle-Aged,No,Female,Yes,461196,Single,Healthcare,Low Spender,Low,30,2,8
Senior,Yes,Male,No,462210,Married,Lawyer,Top Spender,High,81,2,1
Middle-Aged,Yes,Female,No,462004,Married,Healthcare,Low Spender,Average,32,4,4
Middle-Aged,No,Female,Yes,465374,Single,Entertainment,Low Spender,Low,37,,0
Middle-Aged,No,Female,Yes,460192,Single,Entertainment,Low Spender,Low,39,1,0
Senior,Yes,Female,No,461152,Married,Lawyer,Top Spender,High,76,2,0
Middle-Aged,Yes,Female,Yes,460203,Married,Engineer,Low Spender,Average,50,2,1
Senior,Yes,Female,No,464685,Married,Lawyer,Top Spender,High,74,2,0
Middle-Aged,No,Female,No,464148,Single,Artist,Low Spender,Low,30,4,0
Middle-Aged,Yes,Female,Yes,464980,Married,Artist,Low Spender,Low,37,3,1
Middle-Aged,No,Male,Yes,460876,Single,Artist,Low Spender,Low,32,5,2
Middle-Aged,No,Female,Yes,465669,Single,Artist,Low Spender,Low,35,2,0
Senior,No,Male,Yes,463424,Single,Artist,Low Spender,Low,52,3,1
Senior,Yes,Female,Yes,465053,Married,Artist,Top Spender,High,82,2,1
Senior,Yes,Male,Yes,463593,Married,Artist,Low Spender,Average,53,4,0
Senior,Yes,Female,Yes,462631,Married,Engineer,Top Spender,High,70,,1
Middle-Aged,No,Female,Yes,464167,Single,Artist,Low Spender,Low,39,1,0
Young Adult,No,Female,No,463602,Single,Healthcare,Low Spender,Low,22,4,1
Middle-Aged,No,Female,Yes,462475,Single,Artist,Low Spender,Low,40,1,
Young Adult,No,Male,No,464660,Single,Artist,Low Spender,Low,26,7,9
