District code,District name,State name,Age Group 0 29,Age Group 30 49,Age Group 50,Age not stated,Agricultural Workers,Below Primary Education,Buddhists,Christians,Condition of occupied census houses Dilapidated Households,Cultivator Workers,Female,Female Literate,Female SC,Female ST,Female Workers,Graduate Education,Having bathing facility Total Households,Having latrine facility within the premises Total Households,Higher Education,Hindus,Household size 1 person Households,Household size 1 to 2 persons,Household size 2 persons Households,Household size 3 persons Households,Household size 3 to 5 persons Households,Household size 4 persons Households,Household size 5 persons Households,Household size 6 8 persons Households,Household size 9 persons and above Households,Household Workers,Households,Households with Bicycle,Households with Car Jeep Van,Households with Computer,Households with Internet,Households with Radio Transistor,Households with Scooter Motorcycle Moped,Households with separate kitchen Cooking inside house,Households with Telephone Mobile Phone,Households with Telephone Mobile Phone Both,Households with Telephone Mobile Phone Landline only,Households with Telephone Mobile Phone Mobile only,Households with Television,Households with TV Computer Laptop Telephone mobile phone and Scooter Car,Housholds with Electric Lighting,Illiterate Education,Jains,Literate,Literate Education,Location of drinking water source Away Households,Location of drinking water source Near the premises Households,Location of drinking water source Within the premises Households,LPG or PNG Households,Main source of drinking water Handpump Tubewell Borewell Households,Main source of drinking water Other sources Households,Main source of drinking water River Canal Households,Main source of drinking water Spring Households,Main source of drinking water Tank Pond Lake Households,Main source of drinking water Tapwater Households,Main source of drinking water Tubewell Borehole Households,Main source of drinking water Un covered well Households,Main Workers,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Male,Male Literate,Male SC,Male ST,Male Workers,Marginal Workers,Married couples 1 Households,Married couples 2 Households,Married couples 3 Households,Married couples 3 or more Households,Married couples 4 Households,Married couples None Households,Married_couples_5__Households,Middle Education,Muslims,Non Workers,Not having bathing facility within the premises Total Households,Not having latrine facility within the premises Alternative source Open Households,Other Education,Other Workers,Others Religions,Ownership Owned Households,Ownership Rented Households,Population,Power Parity Above Rs 545000,Power Parity Less than Rs 45000,Power Parity Rs 150000 240000,Power Parity Rs 150000 330000,Power Parity Rs 240000 330000,Power Parity Rs 330000 425000,Power Parity Rs 330000 545000,Power Parity Rs 425000 545000,Power Parity Rs 45000 150000,Power Parity Rs 45000 90000,Power Parity Rs 90000 150000,Primary Education,Religion Not Stated,Rural Households,SC,Secondary Education,Sikhs,ST,Total Education,Total Power Parity,Type of bathing facility Enclosure without roof Households,Type of fuel used for cooking Any other Households,Type of latrine facility Flush pour flush latrine connected to other system Households,Type of latrine facility Night soil disposed into open drain Households,Type of latrine facility Other latrine Households,Type of latrine facility Pit latrine Households,Urban Households,Workers
11,Ganderbal,JAMMU AND KASHMIR,194165,66945,35911,425,19312,25817,25,406,3794,15337,138726,52695,12,28516,27585,9633,33167,31492,15005,5592,325,1729,1404,2978,16301,5509,7814,21532,3687,7630,77346,6005,2313,2779,878,29047,2709,39831,27786,1291,1997,24498,20350,663,38487,116734,8,143276,158024,6587,11294,25368,10410,1433,497,3097,1789,540,35518,569,151,52949,5923,158720,90581,105,32554,73305,47941,32518,6513,992,1103,92,3115,19,38375,290581,196556,10082,10107,2212,58611,4,42382,308,297446,0,4,1,2,1,2,3,1,15,10,5,38735,344,63788,117,28247,486,61070,274758,24,1879,174,3759,207,15127,3569,13558,100890
12,Pulwama,JAMMU AND KASHMIR,342601,137032,80111,696,34080,36201,35,1109,3568,49746,267376,115632,5,10770,49992,31286,61749,53836,40931,13840,705,2996,2291,5461,32942,11863,15618,31436,13867,10615,169223,5479,6164,5293,1537,51973,4551,71921,65162,5863,1770,57529,45967,1478,73629,190369,6,293958,310482,11028,19320,50893,16828,13347,929,8108,660,430,56749,3413,212,98306,10127,293064,178326,397,11837,138428,90114,55081,15020,3099,3612,439,7528,74,73991,535159,372020,19492,25493,5897,93979,18,80452,459,560440,32,213,71,167,96,84,108,24,549,430,119,54808,833,147520,402,67368,9440,22607,500851,1068,3940,680,4826,664,11679,5829,21703,188420
13,Shupiyan,JAMMU AND KASHMIR,170086,60752,35158,219,10835,26468,6,429,2392,47424,129735,56145,0,10509,23790,10782,33535,25628,16501,3116,315,1676,1361,3268,17620,6301,8051,17679,4972,3395,80888,1636,3634,3440,884,30191,4656,39555,33786,2555,1494,29737,19896,730,35282,107053,1,136500,150910,9073,12986,19888,3727,3441,967,5395,392,146,30968,778,217,54703,6900,136480,80355,43,11311,63931,33018,30863,6863,1332,1552,185,2669,35,36939,262263,178494,8412,14426,2010,26067,6,41503,265,266215,9,119,33,80,47,29,35,6,257,218,39,29593,216,75616,43,28617,178,21820,257963,500,1382,13,6424,256,1255,5798,5272,87721
14,Anantnag,JAMMU AND KASHMIR,704145,239988,133519,1040,76364,73719,55,1449,6650,140957,518925,221115,15,55016,145652,41570,98110,80917,52407,13180,1542,6700,5158,11464,58558,20510,26584,48155,29574,16322,277733,6295,7846,8612,2712,81666,5541,137410,102683,7514,3687,91482,67166,2042,114899,337265,7,545532,502210,31190,40538,71259,28984,12424,2564,19048,2531,1206,103058,2010,1024,176800,25349,559767,324417,1811,60990,244032,212884,105428,20950,3338,3880,432,12729,110,129174,1057005,689008,44877,51493,9160,156041,7,140994,1149,1078692,57,404,151,342,191,181,249,68,1092,838,254,99059,849,207067,1826,97121,6140,116006,839475,2144,5789,82,11484,5495,23143,15704,70666,389684
15,Kulgam,JAMMU AND KASHMIR,266858,99870,57253,502,29928,36066,27,460,3194,69173,206863,84033,10,12637,57673,18240,40973,31048,24214,4267,785,3958,3173,6618,31875,11391,13866,27713,5657,6193,121130,1853,2421,3542,838,42026,3318,66620,49605,1390,1387,46828,25825,557,47913,175199,25,209085,234831,19260,26440,23503,4301,3743,1937,11749,1846,217,48856,640,354,77812,15749,217620,125052,11,13888,102317,82178,53444,9163,1330,1523,166,5073,27,60470,418076,264493,28230,34785,3190,54696,9,68472,405,424483,0,3,1,2,1,2,4,2,17,9,8,47268,584,95952,21,45383,1035,26525,410030,26,2742,41,4904,687,7578,6826,25178,159990
16,Doda,JAMMU AND KASHMIR,263576,93189,52744,427,12199,43794,21,472,1308,69947,196295,80463,26199,18839,50768,12647,26716,23060,31416,187621,1782,8264,6482,9190,40819,14876,16753,25349,4188,1932,133617,563,1804,3077,596,24106,1550,76597,47031,1371,1265,44395,19244,497,61831,163565,22,219083,248131,18262,35304,25054,7963,202,2063,978,4545,261,66002,60,2915,79377,7847,213641,138620,27209,20377,101144,72535,60875,8043,1127,1324,169,8378,28,62719,220614,258024,51904,54409,1846,67834,42,76189,1997,409936,19,247,75,177,102,74,93,19,566,467,99,47350,722,122267,53408,48359,422,39216,411696,1103,2424,4,2539,2200,2368,1480,11350,151912
17,Ramban,JAMMU AND KASHMIR,188526,61604,33220,363,8810,33971,43,414,1143,41394,134581,41127,6752,18832,18736,4923,13135,10892,13331,81026,1019,6383,5364,7205,26323,9250,9868,18350,3150,2538,89622,214,958,2644,417,18397,612,51469,27216,1013,1028,25175,8110,145,34243,141812,3,124065,146713,17630,23687,12889,3982,270,1721,1867,12201,477,33094,42,3588,52051,16266,149132,82938,7168,20940,68476,35161,44065,3547,321,358,29,6236,8,35115,200516,196501,41071,41793,1498,34470,252,53377,455,283713,1,1,0,0,0,0,1,1,6,3,3,35284,706,84281,13920,22591,753,39772,288525,9,1756,31,1225,172,499,428,5341,87212
18,Kishtwar,JAMMU AND KASHMIR,145931,53415,31084,266,16296,25022,2094,277,1453,39271,110531,38806,6985,18260,26195,5438,12609,10761,14521,93931,1206,5099,3893,5167,22247,7971,9109,14790,2381,1186,78371,439,850,1651,274,16289,1533,42978,17702,1108,497,16097,9281,350,24067,101166,3,107506,120480,14836,18814,10867,4118,297,2179,3918,2412,140,34280,82,930,44718,8649,120165,68700,7322,19889,56779,38256,33933,4233,664,789,111,5562,14,27745,133225,147722,31908,33057,2529,26221,514,43840,463,230696,0,4,1,2,1,2,5,3,19,11,8,25675,202,72378,14307,19550,450,38149,221646,28,1120,1,921,1109,3071,1214,5993,82974
19,Udhampur,JAMMU AND KASHMIR,339145,140785,74757,298,11396,58567,106,1962,1832,113020,258201,124811,66476,27167,79827,17345,21542,18063,29657,489044,1758,6729,4971,8878,47101,17980,20243,31098,8634,2641,183360,3948,3800,5744,1214,30146,8953,67792,64858,6540,1459,56859,37323,2075,73999,194838,57,322354,330760,35086,36891,21585,20008,4742,5848,1825,21428,782,47796,166,9401,152442,29883,296784,197543,72093,29142,163845,91230,62914,15369,3544,4377,686,10902,147,86008,59771,311313,72020,74546,4030,116615,235,90329,2544,554985,37,218,87,194,107,122,165,43,663,492,171,80129,392,148664,138569,55024,3418,56309,525598,1278,3121,21,796,298,350,479,34696,243672
20,Reasi,JAMMU AND KASHMIR,203967,70767,39743,190,4009,33411,15,1208,793,96147,148206,56605,18100,42035,56012,4733,11155,8334,14064,153898,1042,4418,3376,5810,26231,9500,10921,19670,4473,534,107833,1340,1878,2849,602,18452,3551,45425,28783,1854,848,26081,13645,734,31588,143293,7,150542,153248,17449,24500,12843,6552,1279,3763,809,8665,830,33866,25,4765,88462,14067,166461,93937,19657,46330,88755,56305,41179,7060,1089,1243,137,5310,17,36184,156275,169900,43637,45939,575,44077,3,52218,1415,314667,1,2,1,2,1,1,2,1,10,5,5,40215,154,95572,37757,24066,3107,88365,296541,17,2168,6,548,167,208,238,12261,144767
21,Jammu,JAMMU AND KASHMIR,816827,435895,275585,1651,36873,135391,470,12104,12552,68613,716137,495219,180381,32870,91166,146501,231365,162522,159257,1289240,6386,26422,20036,39453,193158,81952,71753,68820,13616,10589,502609,68272,44063,46657,19905,76236,113156,246479,241206,40739,20542,179925,240478,32191,294739,268279,1987,1137135,1173121,22499,46394,233123,197168,117098,3680,671,1716,1681,168693,8076,6884,410344,7748,813821,641916,197610,36323,417456,98278,215803,40735,8759,10378,1376,35100,243,253542,107489,1021336,70651,134732,30616,392547,321,274859,18255,1529958,398,404,281,663,382,282,553,271,1509,827,682,185962,4075,254566,377991,261852,114272,69193,1441400,3525,70235,141,7618,6356,6826,7537,248043,508622
22,Samba,JAMMU AND KASHMIR,177277,88246,53022,353,6105,29138,48,2306,1863,16894,149774,97827,43915,8385,10574,14055,43562,20650,30503,275311,1280,5263,3983,8509,40308,16413,15386,14876,2370,1520,114236,13653,4093,4465,992,12466,17664,47597,50736,4254,2587,43895,47611,1936,61159,65643,16,228139,238867,6751,13359,42707,34063,25438,532,204,142,620,32061,2009,3488,74129,1498,169124,130312,47920,9188,81952,18397,45121,8450,1642,1948,263,7298,43,59931,22950,226372,19255,41899,2600,68007,6,60716,1646,318898,18,139,48,110,62,60,81,21,380,291,89,41233,300,94247,91835,61407,17961,17573,304510,728,20487,53,642,572,623,1464,19989,92526
23,Chamba,HIMACHAL PRADESH,306555,130606,81566,353,9193,56272,1740,1559,2207,196665,257760,137778,55536,67600,135244,15506,46292,52553,40440,479782,5229,11994,6765,10046,52526,20811,21669,31977,5475,4521,200231,1657,5074,5117,1615,25935,8880,92819,73995,6783,2362,64850,62233,2391,96082,154575,57,323842,344427,10664,55088,36220,21458,1031,1749,371,1834,154,96451,9,131,119632,4108,261320,186064,56154,67900,158791,174403,66941,17582,2765,3143,323,14306,55,67653,32455,225045,55680,48216,3252,83656,14,94367,6546,519080,97,118,72,110,38,49,128,79,498,276,222,96789,728,186395,111690,64515,2745,135500,499002,950,5918,4,959,267,365,9420,13836,294035
24,Kangra,HIMACHAL PRADESH,766581,419172,319420,4902,54849,127699,14511,3023,4856,303007,759484,546197,159688,42819,271414,91236,229975,220258,192936,1461140,15746,44900,29154,49211,213017,92030,71776,68294,10196,15662,627328,38456,22727,22753,8053,74758,69192,299890,274180,43145,27803,203232,272579,12858,330081,271892,194,1152640,1176288,30114,105689,200604,148361,18358,3377,237,1441,644,301016,1716,4712,313915,5699,750591,606443,159697,41745,403756,361255,220761,52298,8867,10052,1056,53296,129,223099,19797,834905,106432,113703,13577,301652,208,314828,16832,1510075,369,317,252,353,101,127,333,206,1506,800,706,243617,2273,588321,319385,284124,8929,84564,1448180,2878,29333,43,5386,286,445,30433,39007,675170
25,Lahul AND Spiti,HIMACHAL PRADESH,15928,9181,6200,255,572,3776,19572,212,53,11227,14976,8948,1081,12959,8532,2378,4946,5232,3557,11649,1003,1624,621,795,2947,1105,1047,1695,429,167,17434,108,536,252,61,2489,564,6448,4995,1443,452,3100,4938,78,5618,6515,3,21845,22817,940,4036,1719,2046,339,101,78,46,0,6123,0,1,15190,225,16588,12897,1154,12748,10763,4105,3621,925,137,159,21,1990,1,4011,74,12269,1749,1370,119,7329,1,5037,1224,31564,9,8,6,8,2,3,8,5,36,19,17,5042,18,17434,2235,3934,35,25707,29332,67,313,3,2222,5,39,1547,0,19295
26,Kullu,HIMACHAL PRADESH,244727,120510,72282,384,12372,48384,15377,1568,1117,197141,212451,133122,59973,8329,120255,23168,66129,55831,39081,415669,6409,15132,8723,11656,53737,23630,18451,22985,3691,2707,188704,2450,8479,7010,2623,21750,6979,90542,79454,9049,2271,68134,66910,3454,91322,103136,94,307672,310349,10792,38399,46354,40064,1753,2918,610,794,451,87848,271,568,193876,4773,225452,174550,62686,8493,148829,75208,62549,14979,2492,2794,272,15223,30,61854,2974,168819,29416,38489,2377,56864,83,80610,12616,437903,100,98,70,105,35,41,108,67,444,239,205,77363,742,167995,122659,58122,1396,16822,413485,854,9243,15,773,77,173,7476,20709,269084
27,Mandi,HIMACHAL PRADESH,524285,279321,194661,1510,15822,100052,2628,876,3472,387944,501712,330078,146489,6442,275207,54139,175038,181985,128549,981412,11117,31574,20457,29022,130468,59385,42061,48770,9182,7134,462825,10927,15958,16401,5333,53382,26366,196933,172205,31335,21431,119439,157314,8055,214491,218570,43,723747,763468,12631,84301,123062,59324,1860,2854,455,470,1049,209375,142,1899,284154,4828,498065,393669,147250,6345,297464,288517,141425,40350,7803,8883,934,29336,146,132147,9460,427106,44956,35509,9350,161771,86,205510,11024,999777,190,233,131,208,77,93,245,152,966,535,431,159043,1191,431129,293739,180188,4081,12787,982038,1842,12209,39,3049,85,209,25021,31696,572671
28,Hamirpur,HIMACHAL PRADESH,224044,123941,106641,142,8824,37327,95,243,1011,147103,237698,177536,55529,1513,123207,35620,86909,93858,64363,449412,6218,17767,11549,16803,64353,27573,19977,19251,3697,3347,211348,7094,6665,7525,2521,23628,16955,94440,90286,19528,16840,53918,86324,3438,104120,72551,293,358091,376978,5748,29624,69696,34978,5691,353,22,91,140,94807,208,1443,126153,606,217070,180555,53727,1531,118724,115778,65041,15955,3047,3478,383,20594,48,72114,3711,212837,18159,10386,5263,82657,9,99538,4452,454768,113,95,77,111,34,40,104,64,455,240,215,71107,414,196116,109256,91184,591,3044,449529,878,4844,21,3731,26,44,12913,15232,241931
29,Una,HIMACHAL PRADESH,273223,142351,105358,241,19604,51838,56,390,1874,84800,257481,186434,56890,4156,73734,32120,87268,66103,60626,480138,4431,12478,8047,13184,65541,27689,24668,26829,4851,3427,205217,41378,8059,8238,2412,19820,36913,92378,90729,12776,7736,70217,88894,5342,105929,87735,70,399715,424468,8090,30021,71588,43809,11627,353,48,78,128,93873,2419,2205,134482,607,263692,213281,58601,4445,141612,80864,71424,18538,3527,4086,498,15651,61,81256,14275,305827,22431,42761,5511,107515,10,101443,5195,521173,122,108,87,125,38,46,121,75,511,271,240,87913,225,185091,115491,105204,26009,8601,512203,987,17728,38,1958,109,128,5799,20126,215346
30,Bilaspur,HIMACHAL PRADESH,193671,107367,80497,421,4138,35817,113,236,1046,127169,189192,132021,48718,5208,94328,25474,61113,56814,45695,371973,3819,10504,6685,9924,46905,21119,15862,18706,4338,2561,164445,5387,6573,6281,1574,14900,11397,58346,66935,12284,7650,47001,61392,2779,79146,65864,10,287620,287961,9259,28605,42589,17262,5617,1663,43,513,759,67847,477,2143,103406,2978,192764,155599,50271,5485,111543,102465,50624,15387,3523,4063,459,10379,81,53515,6984,176085,19340,22867,3241,72003,7,75560,4092,381956,72,528,271,492,221,315,689,374,1885,1214,671,59489,246,152458,98989,64730,2387,10693,353825,3666,3495,20,1161,54,60,10025,11987,205871
31,Solan,HIMACHAL PRADESH,321533,167168,90808,811,10283,50331,574,1452,2195,141267,271566,184206,79054,12294,108736,36803,105861,90587,59363,548579,8513,20126,11613,15608,68774,30610,22556,27001,7452,4969,244296,12426,15117,14478,5250,38632,25275,109878,108699,22025,10150,76524,94692,7887,119866,104084,591,428578,423408,12813,35692,74848,53722,6105,5371,472,1683,1148,103964,3148,2249,219235,8674,308754,244372,85482,13351,190001,79502,74573,19282,5062,6076,857,23422,157,83992,14678,281583,17492,30436,8280,142218,110,86649,31305,580320,160,116,130,188,58,63,166,103,624,317,307,89407,410,192787,164536,95232,13926,25645,527492,1253,5651,53,2039,173,208,5298,51509,298737
32,Sirmaur,HIMACHAL PRADESH,310244,136839,82471,301,10730,57853,2645,577,2511,182958,253566,157028,77728,5350,110684,23352,74088,60246,38282,476830,4217,10862,6645,9085,47460,19481,18894,29490,9278,5313,192156,16691,7459,8593,2220,26363,17523,76236,75406,7787,5229,62390,58902,3852,91509,140486,236,362645,368841,17116,40315,39659,28904,8795,3558,1297,1993,1110,75607,1045,2064,193906,7958,276289,205617,83017,5912,169399,86177,61976,18571,3769,4665,709,11878,187,78103,33215,249772,23002,35731,4048,81082,86,83947,10156,529855,77,124,61,105,44,53,140,87,483,274,209,100123,765,171102,160745,67080,15501,11262,509327,930,7172,51,1245,1733,1814,2437,21054,280083
33,Shimla,HIMACHAL PRADESH,425721,241956,145577,756,26114,69967,3262,2025,3690,249786,388971,269796,104949,4201,172298,80414,153356,123535,95341,791449,14631,33411,18780,25892,102290,44780,31618,37051,8018,7967,375165,2813,23107,24127,9177,70807,8186,160066,161675,28920,6859,125896,131450,10363,172754,137576,185,612642,623801,20172,58532,102066,108888,1382,4795,1134,1051,1390,166551,70,2187,311770,8370,425039,342846,110828,4554,258628,119156,114928,25903,4965,5765,688,34174,112,113305,11810,383084,27414,52807,9748,147059,197,126522,44241,814010,232,156,150,254,104,82,215,133,812,397,415,113536,1035,279269,215777,141490,4047,8755,761377,1668,11414,36,1572,245,290,8198,95896,430926
